Date,Open,High,Low,Close,Volume,Adj Close
2020-01-03,6244.33,6608.59,6244.33,6568.73,3.55898,6568.73
2020-01-04,6558.96,6690.0,6520.12,6568.18,1.829645,6568.18
2020-01-05,6590.9,6699.28,6568.18,6589.0,3.365345,6589.0
2020-01-06,6568.18,6950.0,6500.0,6914.15,10.250183,6914.15
2020-01-07,6942.65,7352.71,6900.0,7315.6,29.517401,7315.6
2020-01-08,7353.14,7552.26,7079.19,7239.17,22.190158,7239.17
2020-01-09,7209.85,7209.85,6983.08,7030.39,21.89694,7030.39
2020-01-10,7059.9,7350.0,6924.0,7350.0,3.934952,7350.0
2020-01-11,7350.0,7438.1,7168.68,7225.27,5.909842,7225.27
2020-01-12,7213.35,7352.97,7171.15,7352.97,5.135573,7352.97
2020-01-13,7352.97,7352.97,7247.06,7306.14,3.153253,7306.14
2020-01-14,7288.12,7970.49,7288.12,7894.24,32.767173,7894.24
2020-01-15,7895.5,7989.59,7705.73,7881.35,17.353857,7881.35
2020-01-16,7906.51,7917.05,7699.0,7845.98,10.94211,7845.98
2020-01-17,7816.48,8075.59,7816.48,8035.0,16.43333,8035.0
2020-01-18,8025.0,8077.1,7950.0,8050.0,14.642997,8050.0
2020-01-19,8067.93,8271.43,7673.53,7838.11,34.269219,7838.11
2020-01-20,7853.71,7904.29,7250.6,7778.83,61.213957,7778.83
2020-01-21,7754.25,7919.13,7550.0,7893.54,57.244242,7893.54
2020-01-22,7880.0,7920.0,7734.63,7790.1,7.234232,7790.1
2020-01-23,7771.01,7794.14,7440.98,7518.0,16.972094,7518.0
2020-01-24,7566.48,7705.73,7433.38,7599.48,10.073295,7599.48
2020-01-25,7599.48,7617.25,7475.88,7573.36,6.49606,7573.36
2020-01-26,7534.04,7793.06,7505.0,7793.06,5.839997,7793.06
2020-01-27,7780.67,8137.95,7760.14,8055.42,10.041794,8055.42
2020-01-28,8055.42,8503.0,8049.59,8498.23,20.354689,8498.23
2020-01-29,8518.09,8585.0,8373.88,8438.07,18.264025,8438.07
2020-01-30,8424.04,8669.55,8301.13,8598.0,28.927134,8598.0
2020-01-31,8618.47,8633.26,8302.36,8411.38,13.871029,8411.38
2020-02-01,8425.26,8550.0,8374.93,8466.33,3.218111,8466.33
2020-02-02,8458.46,8546.5,8262.01,8429.12,8.810074,8429.12
2020-02-03,8399.73,8647.0,8336.95,8407.48,14.976716,8407.48
2020-02-04,8411.62,8454.31,8197.3,8304.62,16.681366,8304.62
2020-02-05,8322.97,8928.86,8271.19,8739.96,28.317405,8739.96
2020-02-06,8753.44,8947.55,8652.25,8865.47,12.99766,8865.47
2020-02-07,8883.18,8993.36,8847.45,8947.0,10.074407,8947.0
2020-02-08,8931.97,9100.0,8836.0,9044.88,6.446713,9044.88
2020-02-09,9050.22,9284.0,9036.35,9244.0,9.199912,9244.0
2020-02-10,9265.3,9294.33,8875.0,9031.31,16.507298,9031.31
2020-02-11,9010.83,9475.0,8879.54,9364.75,27.669135,9364.75
2020-02-12,9424.06,9597.35,9287.15,9478.0,26.658223,9478.0
2020-02-13,9497.98,9682.5,9231.06,9430.51,41.074392,9430.51
2020-02-14,9410.51,9586.16,9238.63,9550.7,27.715841,9550.7
2020-02-15,9552.0,9586.16,9025.0,9139.48,29.339565,9139.48
2020-02-16,9100.0,9279.84,8883.88,9161.25,38.368317,9161.25
2020-02-17,9129.29,9190.97,8726.24,8924.14,41.629615,8924.14
2020-02-18,8939.41,9500.0,8835.12,9431.53,24.467001,9431.53
2020-02-19,9426.61,9520.0,8679.89,8892.56,24.794959,8892.56
2020-02-20,8920.0,8994.23,8738.86,8918.84,36.280594,8918.84
2020-02-21,8891.81,9049.65,8848.22,8927.52,16.894076,8927.52
2020-02-22,8925.63,8956.86,8836.25,8938.69,12.722981,8938.69
2020-02-23,8914.87,9234.76,8914.87,9207.92,16.43576,9207.92
2020-02-24,9200.13,9234.85,8743.13,8890.79,24.535299,8890.79
2020-02-25,8854.58,8923.31,8483.12,8570.92,31.358594,8570.92
2020-02-26,8605.13,8609.67,7850.0,8071.09,61.499685,8071.09
2020-02-27,8056.25,8381.01,7843.0,8000.0,39.594291,8000.0
2020-02-28,8013.08,8100.0,7650.0,7897.0,43.599004,7897.0
